127.0.0.1 - - [06/Jan/2022:09:28:05 +0900] "GET / HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%91%A5%EA%B5%B4%EB%A0%88%EC%B0%A8%206,000.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:33 +0900] "GET /login HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:39 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:40 +0900] "GET /main HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:42 +0900] "GET /mypage HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:44 +0900] "GET /myBoardList.board HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:47 +0900] "GET /qnaInsertForm.board HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:51 +0900] "GET /myReview.item HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:53 +0900] "GET /reviewUpdateForm.item?r_board_no=1 HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:53 +0900] "GET /image/C:/images/reviews/%EC%BB%B4%ED%8F%AC%ED%8A%B8%EB%AF%B8%205,800.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:56 +0900] "POST /reviewUpdate.item HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:57 +0900] "GET /oneItem.item?item_code=5 HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:57 +0900] "GET /image/C:/images/items/%EB%A3%A8%EC%9D%B4%EB%B3%B4%EC%8A%A4%203,400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:57 +0900] "GET /resources/js/item/info.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:29:01 +0900] "POST /reviewUpdate.item HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:29:01 +0900] "GET /oneItem.item?item_code=5 HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:29:06 +0900] "GET /reviewUpdateForm.item?r_board_no=1 HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:29:54 +0900] "GET /reviewUpdateForm.item?r_board_no=1 HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:30:48 +0900] "GET /reviewUpdateForm.item?r_board_no=1 HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:02 +0900] "GET /orderList.pay HTTP/1.1" 200 6688
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:03 +0900] "GET /resources/js/pay/order.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:07 +0900] "GET /orderItem.pay?ord_no=2 HTTP/1.1" 200 8701
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:09 +0900] "POST /checkReview.pay HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:10 +0900] "POST /review.item HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:31:10 +0900] "GET /resources/img/NO_IMAGE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "POST /review.item HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/img/NO_IMAGE.png HTTP/1.1" 200 34090
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/style.css HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/main_header.css HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/title_header.css HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/items_container.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/login.css HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/join.css HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/my_page.css HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/pay.css HTTP/1.1" 200 3616
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/my_shopping.css HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/order.css HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/order_list.css HTTP/1.1" 200 4650
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/goods.css HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/my_board.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/review.css HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/review_list.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/qna.css HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/member_list.css HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/admin_item_list.css HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/admin_order_list.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:34:58 +0900] "GET /resources/css/item_info_container.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:11 +0900] "GET /cart.pay HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:11 +0900] "GET /resources/css/review.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:11 +0900] "GET /resources/js/pay/cart.js HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:12 +0900] "GET /mypage HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:14 +0900] "GET /myBoardList.board HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:14 +0900] "GET /resources/css/review.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:15 +0900] "GET /myReview.item HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:17 +0900] "GET /reviewUpdateForm.item?r_board_no=1 HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:17 +0900] "GET /image/C:/images/reviews/%EC%BB%B4%ED%8F%AC%ED%8A%B8%EB%AF%B8%205,800.jpg HTTP/1.1" 200 29379
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:32 +0900] "GET /main HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%ED%97%A4%EB%A1%9C%EA%B2%8C%EC%9D%B4%ED%8A%B8%20%EC%9A%94%ED%81%AC%EC%85%94%20%EB%A0%88%EB%93%9C%20%ED%99%8D%EC%B0%A8%2018,000.jpg HTTP/1.1" 200 23543
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%AA%A8%EB%A1%9C%EC%BD%94%EB%A1%9C%EC%A6%88%EB%B2%84%EB%93%9C%205,900.jpg HTTP/1.1" 200 52177
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EC%88%98%EB%A7%88%ED%8A%B8%EB%9D%BC%20%EB%A7%8C%EB%8D%B8%EB%A7%81%2015,000.jpg HTTP/1.1" 200 80577
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%B8%8C%EB%9D%BC%EC%A7%88%20%EC%82%B0%ED%86%A0%EC%8A%A4%2018,000.jpg HTTP/1.1" 200 68097
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%AF%BC%ED%8B%B0%20%EC%B4%88%EC%BD%9C%EB%A0%9B%ED%8B%B0%207,800.jpg HTTP/1.1" 200 38070
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%ED%97%A4%EB%A1%9C%EA%B2%8C%EC%9D%B4%ED%8A%B8%20%EC%9A%94%ED%81%AC%EC%85%94%20%EA%B3%A8%EB%93%9C%20%ED%99%8D%EC%B0%A8%2019,900.jpg HTTP/1.1" 200 19454
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /resources/css/review.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EA%B3%BC%ED%85%8C%EB%A7%90%EB%9D%BC%20%EC%95%88%ED%8B%B0%EA%B5%AC%EC%95%84%2030,000.jpg HTTP/1.1" 200 98758
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%B3%B4%EB%A6%AC%EC%B0%A8%209,900.png HTTP/1.1" 200 155419
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%91%A5%EA%B5%B4%EB%A0%88%EC%B0%A8%206,000.png HTTP/1.1" 200 91665
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /image/C:/images/items/%EB%8B%B9%EA%B7%80%EC%B0%A8%209,900.png HTTP/1.1" 200 108952
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:35:33 +0900] "GET /resources/img/update.PNG HTTP/1.1" 200 1382492
